match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_125,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_381,Schmidt et al._2013_382,1,4
Schmidt et al._2013_126,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_383,Schmidt et al._2013_384,2,3
Schmidt et al._2013_127,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_385,Schmidt et al._2013_386,1,4
Schmidt et al._2013_128,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_387,Schmidt et al._2013_388,1,3
Schmidt et al._2013_129,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_389,Schmidt et al._2013_390,1,3
Schmidt et al._2013_130,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_391,Schmidt et al._2013_392,1,3
Schmidt et al._2013_131,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_393,Schmidt et al._2013_394,2,3
Schmidt et al._2013_132,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_395,Schmidt et al._2013_396,1,4
Schmidt et al._2013_133,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_397,Schmidt et al._2013_398,2,3
Schmidt et al._2013_134,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_399,Schmidt et al._2013_400,1,3
Schmidt et al._2013_135,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_401,Schmidt et al._2013_402,1,3
Schmidt et al._2013_136,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_403,Schmidt et al._2013_404,1,3
Schmidt et al._2013_137,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_405,Schmidt et al._2013_406,1,3
Schmidt et al._2013_138,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_407,Schmidt et al._2013_408,2,3
