match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Feltovich et al._ 2012_135,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_58,Feltovich et al._ 2012_68,1,4
Feltovich et al._ 2012_136,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_59,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_137,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_60,Feltovich et al._ 2012_69,1,3
Feltovich et al._ 2012_138,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_61,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_139,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_62,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_140,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_63,Feltovich et al._ 2012_72,1,3
Feltovich et al._ 2012_141,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_53,Feltovich et al._ 2012_55,2,3
Feltovich et al._ 2012_142,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_54,Feltovich et al._ 2012_68,1,3
Feltovich et al._ 2012_143,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_56,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_144,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_57,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_145,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_58,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_146,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_59,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_147,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_60,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_148,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_61,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_149,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_62,Feltovich et al._ 2012_69,2,4
Feltovich et al._ 2012_150,Feltovich et al._ 2012,1,12,22,Feltovich et al._ 2012_63,Feltovich et al._ 2012_66,1,3
Feltovich et al._ 2012_151,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_53,Feltovich et al._ 2012_60,2,4
Feltovich et al._ 2012_152,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_54,Feltovich et al._ 2012_69,1,4
Feltovich et al._ 2012_153,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_55,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_154,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_56,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_155,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_57,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_156,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_58,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_157,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_59,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_158,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_61,Feltovich et al._ 2012_72,1,3
Feltovich et al._ 2012_159,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_62,Feltovich et al._ 2012_71,2,4
Feltovich et al._ 2012_160,Feltovich et al._ 2012,1,12,23,Feltovich et al._ 2012_63,Feltovich et al._ 2012_68,2,3
Feltovich et al._ 2012_161,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_53,Feltovich et al._ 2012_56,2,4
Feltovich et al._ 2012_162,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_54,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_163,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_55,Feltovich et al._ 2012_65,1,3
Feltovich et al._ 2012_164,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_57,Feltovich et al._ 2012_68,2,3
Feltovich et al._ 2012_165,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_58,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_166,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_59,Feltovich et al._ 2012_69,2,4
Feltovich et al._ 2012_167,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_60,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_168,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_61,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_169,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_62,Feltovich et al._ 2012_71,2,4
Feltovich et al._ 2012_170,Feltovich et al._ 2012,1,12,24,Feltovich et al._ 2012_63,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_171,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_53,Feltovich et al._ 2012_59,2,3
Feltovich et al._ 2012_172,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_54,Feltovich et al._ 2012_69,1,4
Feltovich et al._ 2012_173,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_55,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_174,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_56,Feltovich et al._ 2012_71,2,4
Feltovich et al._ 2012_175,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_57,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_176,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_58,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_177,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_60,Feltovich et al._ 2012_72,1,4
Feltovich et al._ 2012_178,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_61,Feltovich et al._ 2012_68,2,3
Feltovich et al._ 2012_179,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_62,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_180,Feltovich et al._ 2012,1,12,25,Feltovich et al._ 2012_63,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_181,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_53,Feltovich et al._ 2012_62,2,4
Feltovich et al._ 2012_182,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_54,Feltovich et al._ 2012_69,2,4
Feltovich et al._ 2012_183,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_55,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_184,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_56,Feltovich et al._ 2012_68,2,4
Feltovich et al._ 2012_185,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_57,Feltovich et al._ 2012_71,2,4
Feltovich et al._ 2012_186,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_58,Feltovich et al._ 2012_72,1,4
Feltovich et al._ 2012_187,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_59,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_188,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_60,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_189,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_61,Feltovich et al._ 2012_66,1,4
Feltovich et al._ 2012_190,Feltovich et al._ 2012,1,12,26,Feltovich et al._ 2012_63,Feltovich et al._ 2012_67,2,3
Feltovich et al._ 2012_191,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_53,Feltovich et al._ 2012_57,2,3
Feltovich et al._ 2012_192,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_54,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_193,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_55,Feltovich et al._ 2012_69,1,4
Feltovich et al._ 2012_194,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_56,Feltovich et al._ 2012_67,1,4
Feltovich et al._ 2012_195,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_58,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_196,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_59,Feltovich et al._ 2012_72,2,3
Feltovich et al._ 2012_197,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_60,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_198,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_61,Feltovich et al._ 2012_68,1,3
Feltovich et al._ 2012_199,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_62,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_200,Feltovich et al._ 2012,1,12,27,Feltovich et al._ 2012_63,Feltovich et al._ 2012_66,2,3
Feltovich et al._ 2012_201,Feltovich et al._ 2012,1,12,28,Feltovich et al._ 2012_53,Feltovich et al._ 2012_59,2,4
Feltovich et al._ 2012_202,Feltovich et al._ 2012,1,12,28,Feltovich et al._ 2012_54,Feltovich et al._ 2012_70,2,4
